trendTime,three
2023-04-30 09:09:12,2.33
2023-04-30 09:29:13,2.33
2023-04-30 09:49:12,2.33
2023-04-30 10:09:11,2.32
2023-04-30 10:29:13,2.32
2023-04-30 10:49:13,2.32
2023-04-30 11:09:12,2.33
2023-04-30 11:29:11,2.3
2023-04-30 11:49:10,2.33
2023-04-30 12:09:09,2.33
2023-04-30 12:29:11,2.33
2023-04-30 12:49:13,2.33
2023-04-30 13:09:13,2.32
2023-04-30 13:29:15,2.32
2023-04-30 13:49:15,2.31
2023-04-30 14:09:15,2.33
2023-04-30 14:29:16,2.33
2023-04-30 14:49:18,2.35
2023-04-30 15:09:20,2.33
2023-04-30 15:29:19,2.31
2023-04-30 15:49:21,2.33
2023-04-30 16:09:22,2.32
2023-04-30 16:30:04,2.33
2023-04-30 16:50:03,2.33
2023-04-30 17:10:05,2.31
2023-04-30 17:30:04,2.32
2023-04-30 17:50:04,2.35
2023-04-30 18:10:05,2.33
2023-04-30 18:30:05,2.33
2023-04-30 18:50:06,2.33
2023-04-30 19:10:05,2.32
2023-04-30 19:30:07,2.31
2023-04-30 19:50:08,2.31
2023-04-30 20:10:09,2.34
2023-04-30 20:30:10,2.33
2023-04-30 20:50:09,2.33
2023-04-30 21:10:11,2.35
2023-04-30 21:30:10,2.33
2023-04-30 21:50:10,2.33
2023-04-30 22:10:11,2.31
2023-04-30 22:30:13,2.36
2023-04-30 22:50:12,2.32
2023-04-30 23:10:12,2.32
2023-04-30 23:30:14,2.33
2023-04-30 23:50:15,2.31
2023-05-01 00:10:14,2.35
2023-05-01 00:30:15,2.36
2023-05-01 00:50:15,2.33
2023-05-01 01:11:13,2.33
2023-05-01 01:31:14,2.32
2023-05-01 01:51:16,2.3
2023-05-01 02:11:14,2.34
2023-05-01 02:31:15,2.32
2023-05-01 02:51:16,2.33
2023-05-01 03:11:14,2.32
2023-05-01 03:31:14,2.32
2023-05-01 03:51:14,2.31
2023-05-01 04:11:16,2.32
2023-05-01 04:31:16,2.33
2023-05-01 04:51:17,2.32
2023-05-01 05:11:18,2.32
2023-05-01 05:31:18,2.34
2023-05-01 05:51:16,2.32
2023-05-01 06:11:14,2.33
2023-05-01 06:31:13,2.32
2023-05-01 06:51:13,2.31
2023-05-01 07:11:12,2.32
2023-05-01 07:31:12,2.32
2023-05-01 07:51:14,2.31
2023-05-01 08:11:12,2.34
2023-05-01 08:31:10,2.33
2023-05-01 08:51:12,2.32
2023-05-01 09:11:12,2.32
2023-05-01 09:31:13,2.32
2023-05-01 09:51:14,2.33
2023-05-01 10:11:15,2.33
2023-05-01 10:31:15,2.3
2023-05-01 10:51:15,2.35
