trendTime,all,one,two,three,half,res
2023-04-19 14:20:46,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-19 14:40:47,0.37,0.08,0.36,2.48,0.84,0.19
2023-04-19 15:00:46,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-19 15:20:47,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-19 15:42:47,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-19 16:02:45,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-19 16:22:46,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-19 16:42:45,0.37,0.08,0.37,2.49,0.85,0.18
2023-04-19 17:02:44,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-19 17:22:45,0.37,0.08,0.37,2.45,0.86,0.19
2023-04-19 17:48:59,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-19 18:08:59,0.37,0.08,0.37,2.46,0.86,0.18
2023-04-19 18:28:59,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-19 18:48:59,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-19 19:09:01,0.37,0.08,0.36,2.47,0.84,0.18
2023-04-19 19:28:58,0.37,0.08,0.36,2.5,0.84,0.18
2023-04-19 19:48:57,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-19 20:08:58,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-19 20:28:58,0.37,0.08,0.36,2.49,0.84,0.17
2023-04-19 20:49:48,0.37,0.08,0.37,2.45,0.86,0.19
2023-04-19 21:09:50,0.38,0.08,0.37,2.46,0.85,0.18
2023-04-19 21:29:49,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-19 21:49:48,0.37,0.08,0.36,2.48,0.84,0.18
2023-04-19 22:09:50,0.37,0.08,0.37,2.47,0.86,0.19
2023-04-19 22:29:50,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-19 22:49:50,0.37,0.08,0.36,2.46,0.84,0.19
2023-04-19 23:09:52,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-19 23:29:54,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-19 23:49:54,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-20 00:09:55,0.37,0.08,0.37,2.49,0.85,0.18
2023-04-20 00:29:58,0.37,0.08,0.36,2.47,0.84,0.18
