time,Ng,GenPCal
2021-11-02 11:49:38.653,12958.29,9526.05
2021-11-02 11:49:41.733,12963.15,9541.81
2021-11-02 11:49:44.833,12964.02,9524.61
2021-11-02 11:49:47.913,12970.1,9551.11
2021-11-02 11:49:50.993,12964.35,9524.26
2021-11-02 11:49:53.993,12958.48,9527.8
2021-11-02 11:49:56.993,12959.21,9540.33
2021-11-02 11:49:59.993,12965.86,9531.78
2021-11-02 11:50:03.393,12967.97,9548.29
2021-11-02 11:50:06.493,12963.95,9521.91
2021-11-02 11:50:09.613,12959.45,9528.76
2021-11-02 11:50:12.713,12966.53,9540.32
2021-11-02 11:50:15.873,12963.55,9524.64
2021-11-02 11:50:18.973,12956.76,9541.83
2021-11-02 11:50:21.993,12961.97,9519.68
2021-11-02 11:50:24.993,12962.9,9532.86
2021-11-02 11:50:27.993,12964.01,9543.24
2021-11-02 11:50:30.993,12958.32,9528.28
2021-11-02 11:50:34.473,12957.58,9548.63
2021-11-02 11:50:37.613,12964.12,9523.16
2021-11-02 11:50:40.733,12969.41,9541.82
2021-11-02 11:50:43.853,12963.92,9520.76
2021-11-02 11:50:46.973,12957.37,9538.63
2021-11-02 11:50:49.993,12963.9,9548.15
2021-11-02 11:50:52.993,12963.55,9522.05
2021-11-02 11:50:55.993,12960.08,9534.96
2021-11-02 11:50:58.993,12958.76,9532.14
2021-11-02 11:51:02.453,12958.29,9549.99
2021-11-02 11:51:05.573,12969.33,9520.65
2021-11-02 11:51:08.693,12965.25,9538.37
2021-11-02 11:51:11.773,12963.97,9536.22
2021-11-02 11:51:14.953,12967.31,9535.44
2021-11-02 11:51:17.993,12963.67,9540.2
2021-11-02 11:51:20.993,12961.86,9521.81
2021-11-02 11:51:23.993,12962.9,9527.37
2021-11-02 11:51:27.393,12969.02,9522.53
2021-11-02 11:51:30.493,12964.64,9549.76
2021-11-02 11:51:33.653,12966.41,9534.51
2021-11-02 11:51:36.733,12966.15,9524.27
2021-11-02 11:51:39.813,12963.54,9541.06
2021-11-02 11:51:42.933,12962.04,9521.74
2021-11-02 11:51:45.993,12956.88,9548.8
2021-11-02 11:51:48.993,12957.74,9530.73
2021-11-02 11:51:51.993,12964.01,9520.54
2021-11-02 11:51:54.993,12961.2,9530.75
2021-11-02 11:51:58.453,12957.86,9524.34
2021-11-02 11:52:01.533,12964.68,9542.99
2021-11-02 11:52:04.673,12966.77,9523.08
2021-11-02 11:52:07.773,12962.06,9539.97
2021-11-02 11:52:10.853,12958.06,9532.27
2021-11-02 11:52:13.993,12959.22,9523.27
2021-11-02 11:52:16.993,12969.28,9546.9
2021-11-02 11:52:19.993,12962.13,9537.46
2021-11-02 11:52:23.373,12969.53,9527.72
2021-11-02 11:52:26.473,12963.52,9523.89
2021-11-02 11:52:29.613,12958.14,9525.62
2021-11-02 11:52:32.753,12958.8,9547.31
2021-11-02 11:52:35.853,12962.33,9524.52
2021-11-02 11:52:38.953,12968.96,9541.68
2021-11-02 11:52:41.993,12964.16,9521.26
2021-11-02 11:52:44.993,12963.68,9529.44
2021-11-02 11:52:47.993,12963.87,9545.59
2021-11-02 11:52:50.993,12955.27,9547.7
2021-11-02 11:52:54.393,12960.52,9534.36
2021-11-02 11:52:57.513,12962.77,9527.92
2021-11-02 11:53:00.593,12963.76,9539.15
2021-11-02 11:53:03.693,12964.03,9542.97
2021-11-02 11:53:06.833,12967.8,9522.47
2021-11-02 11:53:09.953,12968.1,9542.29
2021-11-02 11:53:12.993,12968.6,9526.8
2021-11-02 11:53:15.973,12969.62,9532.87
2021-11-02 11:53:18.973,12962.18,9548.23
2021-11-02 11:53:22.413,12968.75,9525.44
2021-11-02 11:53:25.513,12965.53,9541.58
2021-11-02 11:53:28.613,12959.94,9522.58
2021-11-02 11:53:31.773,12957.96,9550.3
2021-11-02 11:53:34.853,12959.05,9520.35
2021-11-02 11:53:37.953,12960.9,9541.24
2021-11-02 11:53:40.993,12963.62,9535.35
2021-11-02 11:53:43.993,12972.8,9530.55
2021-11-02 11:53:46.993,12957.6,9549.18
2021-11-02 11:53:50.373,12967.93,9543.18
2021-11-02 11:53:53.493,12960.59,9539.27
2021-11-02 11:53:56.593,12961.24,9524.78
2021-11-02 11:53:59.693,12969.96,9547.34
2021-11-02 11:54:02.793,12971.7,9524.05
2021-11-02 11:54:05.913,12969.35,9538.54
2021-11-02 11:54:08.973,12963.35,9520.25
2021-11-02 11:54:11.973,12964.5,9528.41
2021-11-02 11:54:14.973,12967.5,9540.2
2021-11-02 11:54:17.993,12966.46,9537.03
2021-11-02 11:54:21.433,12968.19,9540.15
2021-11-02 11:54:24.513,12964.03,9523.91
2021-11-02 11:54:27.613,12963.72,9538.87
2021-11-02 11:54:30.773,12966.79,9526.26
2021-11-02 11:54:33.893,12965.02,9544.46
2021-11-02 11:54:36.973,12962.85,9533.1
2021-11-02 11:54:39.973,12964.73,9530.33
2021-11-02 11:54:42.973,12967.18,9522.44
2021-11-02 11:54:45.973,12965.21,9547.32
2021-11-02 11:54:49.393,12965.99,9544.22
2021-11-02 11:54:52.533,12966.79,9535.71
2021-11-02 11:54:55.613,12963.88,9534.15
2021-11-02 11:54:58.733,12960.37,9521.05
2021-11-02 11:55:01.833,12960.58,9550.13
2021-11-02 11:55:04.933,12960.84,9521.57
2021-11-02 11:55:07.993,12963.23,9542.18
2021-11-02 11:55:10.973,12960.07,9529.53
2021-11-02 11:55:13.973,12970.58,9528.92
2021-11-02 11:55:16.993,12969.35,9549.57
2021-11-02 11:55:20.453,12964.2,9523.6
2021-11-02 11:55:23.553,12967.83,9533.08
2021-11-02 11:55:26.653,12963.27,9523.8
2021-11-02 11:55:29.813,12969.67,9551.04
2021-11-02 11:55:32.913,12963.8,9529.24
2021-11-02 11:55:35.993,12964.98,9528.65
2021-11-02 11:55:38.993,12963.83,9540.75
2021-11-02 11:55:41.993,12971.44,9522.71
2021-11-02 11:55:44.993,12969.54,9542.95
2021-11-02 11:55:48.393,12963.68,9521.2
2021-11-02 11:55:51.493,12964.46,9535.0
2021-11-02 11:55:54.613,12962.39,9534.66
2021-11-02 11:55:57.713,12970.41,9531.73
2021-11-02 11:56:00.813,12969.14,9544.46
2021-11-02 11:56:03.933,12959.46,9522.13
2021-11-02 11:56:06.993,12965.92,9542.61
2021-11-02 11:56:09.973,12969.9,9531.85
2021-11-02 11:56:12.993,12969.15,9527.71
2021-11-02 11:56:16.433,12968.8,9532.56
2021-11-02 11:56:19.513,12964.34,9523.9
2021-11-02 11:56:22.633,12968.9,9542.9
2021-11-02 11:56:25.753,12969.94,9522.05
2021-11-02 11:56:28.893,12970.73,9546.6
2021-11-02 11:56:31.993,12967.99,9528.71
2021-11-02 11:56:34.993,12973.72,9524.96
2021-11-02 11:56:37.993,12959.9,9541.92
2021-11-02 11:56:40.993,12965.34,9531.56
2021-11-02 11:56:44.413,12960.14,9550.18
2021-11-02 11:56:47.553,12964.75,9522.08
2021-11-02 11:56:50.673,12959.4,9532.61
2021-11-02 11:56:53.793,12963.56,9539.88
2021-11-02 11:56:56.873,12962.32,9523.48
2021-11-02 11:56:59.973,12970.02,9551.47
2021-11-02 11:57:02.973,12969.94,9526.8
2021-11-02 11:57:05.973,12971.81,9530.06
2021-11-02 11:57:09.413,12972.18,9528.5
2021-11-02 11:57:12.533,12969.96,9526.95
2021-11-02 11:57:15.693,12968.81,9550.05
2021-11-02 11:57:18.853,12966.88,9522.47
2021-11-02 11:57:21.973,12963.9,9541.62
2021-11-02 11:57:24.993,12970.34,9525.1
2021-11-02 11:57:27.993,12968.82,9535.79
2021-11-02 11:57:31.413,12971.01,9526.14
2021-11-02 11:57:34.553,12971.2,9538.51
2021-11-02 11:57:37.653,12972.09,9531.6
2021-11-02 11:57:40.873,12965.66,9529.28
2021-11-02 11:57:43.993,12972.31,9546.92
2021-11-02 11:57:46.993,12976.57,9523.47
2021-11-02 11:57:49.993,12970.85,9539.57
2021-11-02 11:57:53.453,12970.46,9524.16
2021-11-02 11:57:56.573,12975.67,9548.47
2021-11-02 11:57:59.673,12972.76,9521.18
2021-11-02 11:58:02.773,12970.24,9540.98
2021-11-02 11:58:05.913,12965.91,9531.64
2021-11-02 11:58:08.993,12966.09,9527.08
2021-11-02 11:58:11.993,12964.81,9549.66
2021-11-02 11:58:14.973,12967.24,9526.37
2021-11-02 11:58:18.453,12966.78,9534.85
2021-11-02 11:58:21.573,12970.22,9525.73
2021-11-02 11:58:24.717,12971.63,9547.3
2021-11-02 11:58:27.913,12970.66,9523.54
2021-11-02 11:58:30.993,12971.63,9541.42
2021-11-02 11:58:33.993,12981.93,9529.97
2021-11-02 12:02:26.637,12969.27,9520.44
