y_test,y_pred
2571.68,2658.106
2570.1,2473.0376
2569.85,2234.2021
2561.59,2051.5186
2560.09,1961.7806
2562.69,1956.7466
2562.82,2005.0645
2567.15,2070.9714
2559.13,2129.9639
2558.29,2163.6797
2564.5,2174.1672
2559.37,2170.9336
2558.19,2158.2385
2564.06,2143.0928
2563.04,2132.223
2559.73,2124.7878
2558.97,2119.11
2564.36,2114.994
2563.84,2114.591
2561.67,2114.7937
2562.8,2114.7417
2563.16,2114.344
2564.3,2113.9277
2561.31,2113.6648
2561.92,2112.6416
2561.94,2111.5466
2561.63,2111.0232
2561.96,2110.8372
2560.3899999999994,2111.4187
2558.52,2111.132
2560.85,2109.7983
2565.92,2109.5378
2564.82,2112.0598
2559.63,2114.3945
2562.8399999999997,2113.8467
3307.19,2112.7747
4296.57,2428.9333
4528.78,3188.8364
4521.25,3933.2942
4517.23,4339.787
4519.55,4392.2207
4521.08,4232.455
4517.45,4016.997
4517.95,3848.685
4511.06,3767.1104
4511.28,3760.81
4511.27,3802.2805
4507.95,3859.6394
4517.16,3907.987
4518.82,3942.6353
4507.51,3959.7014
4506.46,3956.7122
4509.6,3943.289
4514.59,3930.2183
4515.61,3922.619
4515.93,3919.167
4511.94,3917.3982
4513.34,3914.6382
4507.79,3912.1423
4505.78,3908.0415
4515.1,3903.6323
4512.96,3904.87
4506.74,3906.183
4514.54,3904.4126
4517.44,3905.6135
4753.24,3909.6033
5756.500000000001,4016.6245
6764.03,4572.361
7780.089999999999,5542.357
8809.49,6730.2236
9584.61,7933.5405
9570.88,8910.976
9566.6,9285.118
9569.92,9176.723
9559.11,8851.533
9556.08,8525.889
9546.6,8316.818
9544.62,8243.201
9548.71,8272.582
9557.92,8356.657
9545.06,8453.827
9540.84,8523.673
9550.99,8559.478
9559.46,8573.758
9560.6,8575.125
9569.07,8567.668
9553.74,8560.74
9544.73,8545.508
9555.78,8525.948
9558.36,8515.914
9544.08,8513.491
9538.57,8507.4795
9555.91,8499.786
9540.32,8502.901
9557.94,8501.404
9551.35,8506.658
9540.67,8508.848
9550.53,8503.357
9540.23,8502.449
9553.54,8498.352
9542.19,8500.646
9544.36,8499.408
9540.34,8498.463
9548.84,8495.886
